hr,name,ra_deg,dec_deg,magnitude,constellation
2491,Sirius,101.2872,-16.7161,-1.44,Canis Major
2326,Canopus,95.9879,-52.6957,-0.62,Carina
5340,Arcturus,213.9154,19.1824,-0.05,Boötes
5459,Rigil Kentaurus,219.9115,-60.8340,-0.01,Centaurus
7001,Vega,279.2346,38.7837,0.03,Lyra
1708,Capella,79.1723,45.9980,0.08,Auriga
1713,Rigel,78.6345,-8.2016,0.18,Orion
2943,Procyon,114.8255,5.2250,0.40,Canis Minor
472,Achernar,24.4283,-57.2368,0.45,Eridanus
2061,Betelgeuse,88.7929,7.4071,0.45,Orion
5267,Hadar,210.9559,-60.3730,0.61,Centaurus
7557,Altair,297.6958,8.8683,0.76,Aquila
4730,Acrux,186.6497,-63.0991,0.77,Crux
1457,Aldebaran,68.9802,16.5093,0.87,Taurus
5056,Spica,201.2982,-11.1613,0.98,Virgo
6134,Antares,247.3519,-26.4320,1.06,Scorpius
2990,Pollux,116.3292,28.0262,1.16,Gemini
8728,Fomalhaut,344.4126,-29.6222,1.17,Piscis Austrinus
4853,Mimosa,191.9304,-59.6888,1.25,Crux
7924,Deneb,310.3580,45.2803,1.25,Cygnus
5460,Toliman,219.9052,-60.8383,1.35,Centaurus
3982,Regulus,152.0930,11.9672,1.36,Leo
2618,Adhara,104.6565,-28.9721,1.50,Canis Major
2891,Castor,113.6495,31.8883,1.58,Gemini
4763,Gacrux,187.7914,-57.1132,1.59,Crux
6527,Shaula,263.4022,-37.1038,1.62,Scorpius
1790,Bellatrix,81.2828,6.3497,1.64,Orion
1791,Elnath,81.5730,28.6075,1.65,Taurus
3685,Miaplacidus,138.3006,-69.7172,1.67,Carina
1903,Alnilam,84.0534,-1.2019,1.69,Orion
8425,Alnair,332.0581,-46.9610,1.73,Grus
1948,Alnitak,85.1897,-1.9426,1.74,Orion
3207,Gam-2 Vel,122.3831,-47.3366,1.75,Vela
4905,Alioth,193.5071,55.9598,1.76,Ursa Major
1017,Mirfak,51.0807,49.8612,1.79,Perseus
6879,Kaus Australis,276.0430,-34.3846,1.79,Sagittarius
4301,Dubhe,165.9323,61.7510,1.81,Ursa Major
2693,Wezen,107.0979,-26.3932,1.83,Canis Major
5191,Alkaid,206.8853,49.3133,1.85,Ursa Major
